# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
4.499105999999999939e-01 5.651000999999999941e-01 6.914038258631746703e-02 9.657894000000000201e-01 2.026886000000000191e-09 -2.976223999999999884e-02 3.706199999999999772e-02 1.100000000000000000e+01 -5.633766999999999825e+03
4.702736000000000138e-01 5.439087000000000227e-01 7.596684921114758848e-02 9.755112000000000227e-01 2.154087000000000236e-09 -4.365519999999999817e-02 7.119599000000000066e-02 1.000000000000000000e+00 -5.635747999999999593e+03
3.994155999999999818e-01 5.853882000000000252e-01 6.757757757569143875e-02 9.872657999999999712e-01 2.382842000000000238e-09 -3.201622999999999969e-02 1.246996999999999967e-01 2.000000000000000000e+00 -5.645104000000000269e+03
5.598440000000000083e-01 4.971069000000000182e-01 9.222748556757984217e-02 9.794667000000000234e-01 2.177499000000000072e-09 -6.953330000000000621e-02 7.790457000000000631e-02 1.000000000000000000e+00 -5.633618000000000393e+03
5.936689000000000549e-01 4.841919000000000084e-01 9.534144669988069143e-02 9.766888999999999710e-01 2.004570999999999736e-09 -7.507068000000000074e-02 3.493345999999999951e-02 1.000000000000000000e+00 -5.633585000000000036e+03
4.856236999999999915e-01 5.342407000000000128e-01 7.924926352802998120e-02 9.755597999999999770e-01 2.118876999999999899e-09 -4.920606999999999759e-02 6.278942999999999330e-02 2.000000000000000000e+00 -5.633645999999999731e+03
4.872138999999999776e-01 5.283324999999999827e-01 8.065467033715463530e-02 9.823142000000000262e-01 2.178054999999999878e-09 -5.340978999999999866e-02 8.254127999999999465e-02 2.000000000000000000e+00 -5.642019000000000233e+03
4.344640000000000168e-01 5.675415000000000321e-01 6.941458294958520459e-02 9.712532999999999861e-01 2.165640999999999884e-09 -3.220416000000000251e-02 7.734175000000000078e-02 1.000000000000000000e+00 -5.634408000000000357e+03
5.964435000000000153e-01 4.849242999999999748e-01 9.654976724234824725e-02 9.735346000000000277e-01 2.033338000000000118e-09 -7.612555999999999490e-02 4.407235000000000319e-02 3.000000000000000000e+00 -5.636082000000000335e+03
4.258967000000000169e-01 5.709105999999999348e-01 6.781641929006139435e-02 9.745382000000000211e-01 2.098196999999999925e-09 -3.219301000000000107e-02 6.086453000000000002e-02 1.000000000000000000e+00 -5.641715000000000146e+03
5.519720999999999655e-01 5.031127999999999156e-01 8.975543833634835877e-02 9.737244999999999928e-01 2.091013999999999827e-09 -6.599148000000000513e-02 5.431057999999999719e-02 2.000000000000000000e+00 -5.637020000000000437e+03
