#cosmological_parameters--omega_m  cosmological_parameters--hubble cosmological_parameters--ombh2 cosmological_parameters--tau cosmological_parameters--n_s cosmological_parameters--A_s like
3.220502E-01 6.680908E+01 2.218578E-02 8.005733E-02 9.598686E-01 2.25077e-09 6.486606E+03
3.206584E-01 6.687744E+01 2.220640E-02 7.545603E-02 9.703626E-01 2.19557e-09 6.490167E+03
3.106676E-01 6.753662E+01 2.212897E-02 4.998343E-02 9.681894E-01 2.08312e-09 6.486031E+03
3.026668E-01 6.826416E+01 2.252381E-02 6.458440E-02 9.680343E-01 2.12807e-09 6.482654E+03
3.193323E-01 6.702393E+01 2.219869E-02 8.153238E-02 9.671126E-01 2.22314e-09 6.477691E+03
3.218621E-01 6.681396E+01 2.206767E-02 7.524411E-02 9.629794E-01 2.18447e-09 6.480528E+03
3.091011E-01 6.785400E+01 2.251177E-02 9.870871E-02 9.661070E-01 2.30047e-09 6.480175E+03
3.100821E-01 6.771729E+01 2.233766E-02 9.057324E-02 9.654459E-01 2.25567e-09 6.484699E+03
3.352533E-01 6.593506E+01 2.206816E-02 4.360423E-02 9.506811E-01 2.09135e-09 6.489330E+03
3.130603E-01 6.743408E+01 2.220014E-02 4.988075E-02 9.615940E-01 2.08916e-09 6.483988E+03
3.355924E-01 6.574951E+01 2.180228E-02 3.972560E-02 9.564043E-01 2.03744e-09 6.483772E+03
3.313005E-01 6.615479E+01 2.195107E-02 4.845216E-02 9.603305E-01 2.08393e-09 6.485698E+03
3.030197E-01 6.811768E+01 2.231482E-02 8.238446E-02 9.681200E-01 2.19925e-09 6.484386E+03
3.104704E-01 6.759033E+01 2.230254E-02 1.051563E-01 9.662191E-01 2.33491e-09 6.487966E+03
3.139000E-01 6.738037E+01 2.220879E-02 8.060865E-02 9.611206E-01 2.21945e-09 6.480251E+03
3.130679E-01 6.741943E+01 2.219748E-02 7.199677E-02 9.661356E-01 2.15625e-09 6.482777E+03
3.292416E-01 6.638428E+01 2.219972E-02 1.073709E-01 9.651868E-01 2.32107e-09 6.487315E+03
3.205886E-01 6.686768E+01 2.230147E-02 1.148334E-01 9.635910E-01 2.3795e-09 6.493406E+03
3.298300E-01 6.629150E+01 2.219702E-02 9.303304E-02 9.623213E-01 2.27322e-09 6.485263E+03
3.254154E-01 6.657471E+01 2.215869E-02 9.841077E-02 9.605443E-01 2.2902e-09 6.479390E+03
3.122829E-01 6.753174E+01 2.235995E-02 9.267086E-02 9.601352E-01 2.2497e-09 6.486957E+03
3.076619E-01 6.790283E+01 2.250372E-02 8.499887E-02 9.635171E-01 2.21249e-09 6.484842E+03
3.130021E-01 6.752197E+01 2.231086E-02 5.916073E-02 9.643037E-01 2.1285e-09 6.485374E+03
3.062818E-01 6.811279E+01 2.262212E-02 8.006883E-02 9.695678E-01 2.21984e-09 6.483900E+03
3.071944E-01 6.790771E+01 2.232092E-02 8.194462E-02 9.740759E-01 2.21559e-09 6.480715E+03
3.115271E-01 6.743896E+01 2.208850E-02 9.098654E-02 9.649843E-01 2.26806e-09 6.486789E+03
3.194733E-01 6.704834E+01 2.227298E-02 6.902844E-02 9.652952E-01 2.15302e-09 6.481519E+03
3.087821E-01 6.773682E+01 2.232367E-02 8.739856E-02 9.700383E-01 2.26155e-09 6.481202E+03
3.185451E-01 6.703369E+01 2.224995E-02 9.380953E-02 9.656329E-01 2.2857e-09 6.479814E+03
3.073589E-01 6.785889E+01 2.235468E-02 1.090342E-01 9.648991E-01 2.33662e-09 6.484250E+03
3.038867E-01 6.807861E+01 2.228229E-02 9.310118E-02 9.626259E-01 2.27667e-09 6.481682E+03
3.169054E-01 6.722900E+01 2.231992E-02 8.935497E-02 9.616827E-01 2.26393e-09 6.483919E+03
3.048462E-01 6.808838E+01 2.247008E-02 1.175495E-01 9.714163E-01 2.37832e-09 6.484915E+03
3.087313E-01 6.781006E+01 2.251108E-02 1.010322E-01 9.683860E-01 2.30549e-09 6.488853E+03
3.202531E-01 6.692139E+01 2.213158E-02 9.413539E-02 9.669807E-01 2.28493e-09 6.484248E+03
3.186596E-01 6.703857E+01 2.209522E-02 6.923200E-02 9.684792E-01 2.15429e-09 6.482497E+03
3.183742E-01 6.691650E+01 2.203246E-02 6.641544E-02 9.651880E-01 2.14631e-09 6.484347E+03
3.300777E-01 6.614990E+01 2.201421E-02 4.402686E-02 9.594197E-01 2.06839e-09 6.490666E+03
3.303705E-01 6.620850E+01 2.207596E-02 6.213386E-02 9.578604E-01 2.15227e-09 6.483361E+03
3.278487E-01 6.640869E+01 2.206709E-02 7.393316E-02 9.551476E-01 2.20139e-09 6.484173E+03
3.130219E-01 6.739014E+01 2.210826E-02 2.542525E-02 9.605467E-01 1.98029e-09 6.485323E+03
3.089542E-01 6.781494E+01 2.246006E-02 9.633990E-02 9.686618E-01 2.26198e-09 6.483107E+03
3.364774E-01 6.579834E+01 2.194682E-02 6.065065E-02 9.578241E-01 2.14116e-09 6.487247E+03
3.144393E-01 6.735107E+01 2.235999E-02 7.470187E-02 9.728199E-01 2.19308e-09 6.481809E+03
3.048303E-01 6.805420E+01 2.235378E-02 8.861056E-02 9.689150E-01 2.25484e-09 6.484240E+03
3.015841E-01 6.842529E+01 2.245954E-02 8.994607E-02 9.705736E-01 2.25981e-09 6.484393E+03
3.186068E-01 6.703857E+01 2.227653E-02 9.899601E-02 9.670610E-01 2.3103e-09 6.481323E+03
3.022440E-01 6.822998E+01 2.247216E-02 8.988759E-02 9.695983E-01 2.22393e-09 6.476644E+03
3.085014E-01 6.768311E+01 2.225798E-02 8.875747E-02 9.622570E-01 2.23897e-09 6.479134E+03
3.127482E-01 6.732178E+01 2.200674E-02 8.986936E-02 9.631783E-01 2.23549e-09 6.489173E+03
3.106548E-01 6.764893E+01 2.240351E-02 1.121904E-01 9.667835E-01 2.34003e-09 6.481695E+03
3.070753E-01 6.782471E+01 2.218054E-02 1.033844E-01 9.653498E-01 2.30387e-09 6.482617E+03
3.105968E-01 6.750732E+01 2.207144E-02 1.183773E-01 9.678502E-01 2.38127e-09 6.484955E+03
3.047337E-01 6.811279E+01 2.258548E-02 9.847831E-02 9.655036E-01 2.30166e-09 6.483679E+03
3.124835E-01 6.760010E+01 2.249225E-02 7.773490E-02 9.612506E-01 2.20267e-09 6.478042E+03
3.194490E-01 6.693115E+01 2.204358E-02 8.742504E-02 9.588235E-01 2.22838e-09 6.483383E+03
3.035107E-01 6.821533E+01 2.248534E-02 1.126891E-01 9.707182E-01 2.32177e-09 6.482465E+03
3.045832E-01 6.809326E+01 2.245796E-02 7.645022E-02 9.743088E-01 2.17698e-09 6.486090E+03
3.201832E-01 6.692627E+01 2.214527E-02 8.926538E-02 9.591588E-01 2.25912e-09 6.496777E+03
3.092194E-01 6.774170E+01 2.236062E-02 8.429592E-02 9.620232E-01 2.21278e-09 6.486607E+03
3.096334E-01 6.765381E+01 2.228667E-02 1.326171E-01 9.680067E-01 2.43893e-09 6.484285E+03
3.210374E-01 6.680420E+01 2.207880E-02 8.184651E-02 9.591560E-01 2.20753e-09 6.480300E+03
3.108994E-01 6.743896E+01 2.206357E-02 5.150446E-02 9.667791E-01 2.06237e-09 6.490888E+03
3.111228E-01 6.740479E+01 2.205130E-02 5.947026E-02 9.633128E-01 2.08533e-09 6.490966E+03
3.129113E-01 6.744873E+01 2.232255E-02 5.600358E-02 9.652194E-01 2.10761e-09 6.484156E+03
3.291087E-01 6.628174E+01 2.205942E-02 6.323196E-02 9.586904E-01 2.14207e-09 6.485528E+03
3.183242E-01 6.706787E+01 2.218302E-02 8.282476E-02 9.642018E-01 2.23935e-09 6.490163E+03
3.080727E-01 6.788818E+01 2.244773E-02 7.320417E-02 9.662631E-01 2.19018e-09 6.492947E+03
3.064155E-01 6.803467E+01 2.256466E-02 9.289332E-02 9.661842E-01 2.27216e-09 6.488063E+03
3.278949E-01 6.641846E+01 2.211832E-02 8.869708E-02 9.580711E-01 2.27229e-09 6.481907E+03
3.237232E-01 6.665771E+01 2.222934E-02 6.966960E-02 9.558930E-01 2.20057e-09 6.480905E+03
3.158347E-01 6.725830E+01 2.226671E-02 9.124991E-02 9.617708E-01 2.27057e-09 6.484502E+03
3.012497E-01 6.834717E+01 2.260435E-02 1.021202E-01 9.731791E-01 2.31137e-09 6.485120E+03
3.182771E-01 6.699951E+01 2.223418E-02 8.716051E-02 9.645959E-01 2.24237e-09 6.488211E+03
3.180356E-01 6.701416E+01 2.205871E-02 6.239053E-02 9.636231E-01 2.12457e-09 6.480464E+03
3.295899E-01 6.622314E+01 2.196771E-02 6.482636E-02 9.598718E-01 2.14753e-09 6.479891E+03
3.163986E-01 6.716553E+01 2.220859E-02 8.141533E-02 9.628526E-01 2.20014e-09 6.479238E+03
3.190078E-01 6.711182E+01 2.235415E-02 7.930209E-02 9.613003E-01 2.20996e-09 6.479494E+03
3.042181E-01 6.813721E+01 2.239619E-02 9.051465E-02 9.651918E-01 2.23397e-09 6.483587E+03
3.087341E-01 6.771729E+01 2.220299E-02 9.126949E-02 9.645311E-01 2.25184e-09 6.485727E+03
